seed,noV,rhsMin,rhsMax,cMin,cMax,fMin,fMax,supplyNodes,demandNodes, totSupply, avgFC
1,106,135,270,0,20,16946,50838,3,3,607.0,3324.34440838
2,28,957,1914,0,20,18956,56868,5,1,1233.0,4047.15657936
3,62,238,476,0,20,10881,32643,4,1,412.0,2650.00208739
4,66,237,474,0,20,2061,6183,5,2,721.0,378.254924182
5,110,623,1246,0,20,14836,44508,5,2,5167.0,2978.96726617
6,76,794,1588,0,20,16436,49308,5,3,6102.0,3280.39710397
7,94,324,648,0,20,3016,9048,3,2,1574.0,688.823686673
8,36,227,454,0,20,19246,57738,5,3,908.0,3768.89080289
9,36,464,928,0,20,7466,22398,5,3,2035.0,1596.78287707
10,86,572,1144,0,20,8576,25728,6,2,1800.0,1684.45285385
11,124,453,906,0,20,11196,33588,7,3,1832.0,2294.9922562
12,96,475,950,0,20,13146,39438,8,1,668.0,2778.45005765
13,98,260,520,0,20,13706,41118,4,3,1469.0,2636.16037934
14,94,107,214,0,20,14051,42153,5,2,340.0,2928.6786254
15,104,966,1932,0,20,231,693,3,2,4734.0,43.4489818817
16,68,362,724,0,20,9606,28818,3,4,1585.0,2102.85934377
17,128,522,1044,0,20,16131,48393,4,3,2224.0,3229.03864878
18,58,182,364,0,20,13226,39678,3,2,799.0,2560.76415363
19,80,678,1356,0,20,15696,47088,6,2,1928.0,2972.65725496
20,106,906,1812,0,20,13726,41178,5,3,3231.0,2739.58964116
21,92,165,330,0,20,13796,41388,2,2,327.0,2644.8391887
22,24,959,1918,0,20,2806,8418,2,2,1992.0,497.61339258
23,120,925,1850,0,20,18971,56913,4,3,3295.0,3701.17145634
24,42,713,1426,0,20,16796,50388,4,3,2911.0,3359.15295424
25,116,377,754,0,20,18536,55608,3,2,967.0,3506.13440391
26,44,748,1496,0,20,4056,12168,4,2,1988.0,851.462671546
27,128,649,1298,0,20,14026,42078,4,1,1019.0,2672.4903094
28,88,113,226,0,20,2616,7848,4,2,315.0,498.304521427
29,116,549,1098,0,20,6916,20748,5,3,3756.0,1444.10914391
30,24,540,1080,0,20,5781,17343,3,2,2453.0,1196.09808982
31,64,13,26,0,20,2246,6738,3,3,46.0,558.094219015
32,54,78,156,0,20,4271,12813,3,3,248.0,848.485959489
33,112,571,1142,0,20,12641,37923,5,3,4565.0,2703.4646079
34,116,529,1058,0,20,11711,35133,4,1,763.0,2152.79132378
35,104,549,1098,0,20,15011,45033,4,3,2093.0,2851.81753672
36,128,329,658,0,20,19661,58983,6,4,1790.0,4087.60864701
37,90,683,1366,0,20,1831,5493,4,4,3286.0,376.537835111
38,102,640,1280,0,20,8581,25743,3,4,2976.0,1782.56123314
39,42,210,420,0,20,7706,23118,4,2,664.0,1722.02722457
40,24,459,918,0,20,17556,52668,4,2,970.0,4217.62838077
41,40,382,764,0,20,4611,13833,5,1,425.0,1062.62810611
42,52,640,1280,0,20,501,1503,5,1,1148.0,105.628754757
43,38,39,78,0,20,13921,41763,3,3,158.0,2537.36141615
44,118,409,818,0,20,10836,32508,5,2,1247.0,2185.64097804
45,30,272,544,0,20,9761,29283,3,3,1028.0,2471.52458734
46,86,889,1778,0,20,7996,23988,7,3,3247.0,1468.51221724
47,72,352,704,0,20,8601,25803,2,1,505.0,1789.77455658
48,100,549,1098,0,20,2636,7908,2,2,1560.0,504.164559256
49,34,67,134,0,20,8261,24783,4,1,99.0,1594.95848745
50,92,498,996,0,20,5321,15963,4,4,2300.0,931.946980576
51,40,244,488,0,20,10041,30123,2,2,569.0,1880.35877494
52,102,979,1958,0,20,1091,3273,4,2,6257.0,228.818751623
53,72,618,1236,0,20,17801,53403,5,3,2090.0,3523.4957737
54,84,914,1828,0,20,2746,8238,6,1,1530.0,531.076609064
55,38,91,182,0,20,19011,57033,4,4,442.0,3211.32005595
56,74,966,1932,0,20,11196,33588,4,4,5633.0,2485.96391212
57,24,43,86,0,20,11791,35373,2,3,135.0,1934.79460082
58,92,581,1162,0,20,4111,12333,3,3,2589.0,886.938875668
59,126,225,450,0,20,18651,55953,4,5,1542.0,3823.42099467
60,50,308,616,0,20,11556,34668,6,2,1109.0,2283.02315864
61,112,495,990,0,20,11131,33393,2,3,1567.0,2162.16993135
62,130,928,1856,0,20,3461,10383,3,2,3941.0,629.415555636
